AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,3.9589258124205,2.66628924684083,5.40517134083127,3.9572506431458,3.74522381091376,4.28782742812712,3.00514084267669,3.16565629230529,3.97008265552473,2.06508706186769,2.86624578223481,3.695098240637,4.97193528559856,3.65829590825416,3.96810458417157,3.34069585911814,4.19587355944243,3.2606162077252,5.77795949592814,3.99474994113975,3.70845774496822,4.07274013890515,3.62323148858492,3.78088125756066,3.63923148869385,3.37569591086929,4.21184535841649,4.40426280102726,4.05852649877098,2.97187611449071,3.56696060831901,2.85080258934929,3.19993985601565,3.29223109468328,3.70535269107393,3.76236016852187,5.07805555214991,2.38126813740994,2.87713889279058,3.18095525894124,3.78003892071234,2.8716168901053
ACOX2,4.66815222737947,3.25691780929298,6.26070747538335,4.64303551437645,4.36766641990067,4.80031102480442,3.60720810646147,3.71751663116979,4.5753325510295,2.64268693318755,3.5069369226454,4.45004174190073,5.56584547836806,4.27316434015464,4.5982774743462,4.04676104336484,4.92180580661327,3.82354449552123,6.62197490342504,4.68239242754769,4.41875416736809,4.8228102373264,4.17577885344678,4.37440623637857,4.25881267011041,4.03723265686562,4.65395992567654,5.20266718643223,4.70401380467767,3.64992287423317,4.19275531608292,3.461280604316,3.78791439283061,3.95740513645222,4.40411048729843,4.32411375239112,5.84092098024225,2.97206400794758,3.48023912956816,3.86341534237417,4.45141695291804,3.51383852586929
ADAMTS16,2.21901527656268,2.00006652474992,3.18647439185124,2.52851733236118,1.89078006226178,2.34222140308436,1.63810288548962,1.7577228658353,2.07752927529958,1.07267332673906,1.40409019466635,2.43522456033159,3.15692133548441,1.78895037608409,2.11328971870003,2.17965541485063,2.83651581705071,1.85576634921523,4.04469885237663,2.43528683315733,2.44886669486036,3.02791656466011,2.07628308356758,1.93309366223925,2.2081864087755,1.77552202145312,2.64276117856659,2.84406810158464,2.34115137308203,2.13878948138511,1.77833837548151,2.01947349299195,1.83016995251006,2.56233365009801,2.49127534412394,2.15915504912535,3.39201148410541,1.32997429460314,1.9783256540572,1.59794512497461,1.47272717331266,1.64008296314525
ARID1B,3.93409213501491,3.16395589929663,5.93195718189428,3.35270278955769,3.53856910877915,3.88821686632173,3.08428031148612,3.00898697934799,3.73720713109919,2.35725073708129,3.04108438073246,4.21786882590276,4.54423232156393,3.52007964945892,3.71895156783617,3.69587137455951,3.47203581472498,3.10962580356333,6.44247549831796,3.9945934338646,3.99568738992485,4.20669484030042,3.29612653403812,3.32426445375919,3.55126044689166,3.0408234622398,4.30472275401664,5.02618704334803,4.09494345069994,3.16489748507881,3.36036757015778,3.23046637694989,3.09737363067532,3.84524508045844,4.18407539723608,3.57333670469044,4.30174157790571,2.58392359929497,3.1461509286378,3.32227937865962,3.69731640209717,3.01111007088701
ATP5B,3.77788644056235,2.8792944598214,5.30785905009077,3.80310370217109,3.26892195778901,3.72550183646834,2.71924375277835,2.87070202745733,3.41932200839819,2.04634633213541,2.8695114059794,3.81761252263276,4.4854498123537,3.30808144957829,3.49068166923976,3.46491831800106,4.17406730102005,2.98889609476181,5.8004810604111,3.73858522244364,3.81034355981222,4.19758070249858,3.18796714088065,3.297797169201,3.42608365872228,3.26184100109447,4.24795685726126,4.48551652144137,3.74871530331077,3.15158062322223,3.21634188856331,2.93402284627077,3.00475325546725,3.59043050615166,3.82776101214704,3.29348299570023,4.85040862944299,2.33774604950987,2.90676104956443,3.0583631609716,3.22694466192021,2.81830043903534
C2orf78,2.8358061717336,1.92271684250875,4.23059848941796,2.94445377561488,2.33801488765037,2.31742779546447,1.90835538599147,1.7536980441507,2.42170973125196,1.43466998015112,1.95458994466911,2.72816486712558,2.9991297387308,2.24879368373214,2.68926903381896,2.65617800298509,3.43176630393365,1.96179803802598,4.5781975898124,2.66692316892954,2.70878929168808,2.938690253011,2.20811398040989,2.42689911520695,2.43136060963402,2.49872650460831,2.32777717712751,3.18884755627668,2.78657929423467,2.14721032722118,2.2176388379542,2.11267047920937,1.94238092752767,2.737418979808,2.63153040641203,2.2695719316706,4.0200257022922,1.77444748924166,1.983937615312,2.26536435415222,2.60863479922953,1.98533146323458
C8orf86,2.15705778141329,1.52581156117407,3.37759984768035,2.2077227225462,1.9547856183725,2.31287282568634,1.4904093328178,1.55161017420227,2.12390192225325,1.0854805641597,1.54943886552359,2.05829823844397,2.75523995541363,1.99225916456789,2.13726787584111,1.90375600667826,2.49751465488964,1.63482626655605,3.74495631793248,2.08710561039734,2.09578370846859,2.40800799709345,1.84397449580154,1.97077891154648,1.92646619783817,1.8357633268327,2.53978514659715,2.71970089017581,2.33462135695333,1.62299651686268,1.83458860347395,1.51039696022237,1.5907930787893,2.0259891124535,2.16204201818048,1.91208638890129,2.93271855489352,1.31207339279611,1.49581512515529,1.67592688917172,2.05288244351964,1.42660116990676
CCRL2,4.16945932374077,3.11782597977883,5.79066605085987,4.13554024813742,3.7394681467608,4.18145949230629,3.09461582557583,3.24306668885777,3.89216022933984,2.4279822053818,3.29776119934265,4.10056774095863,4.86369488510021,3.79861173089725,3.94549580547065,3.74749441845551,4.46420397352305,3.35744691796323,6.11787810757781,4.08566997969312,4.08022226919129,4.41707990242594,3.57870953125236,3.76335927113633,3.77087751400733,3.67337881370241,4.60245045043564,4.81331521471673,4.20358058829162,3.37732159675355,3.66283313740418,3.16368009932744,3.35754997233624,3.81374890210459,4.10399626127403,3.68084915552914,5.17702311571232,2.70417781838437,3.14496020401275,3.49869540844317,3.86257307658083,3.15124699757061
CD40LG,3.39899781883588,2.39526129948995,4.96077983802124,3.4608717175367,3.20934487536463,3.69076188284875,2.50237535444021,2.62415670903757,3.4169697044706,1.61283778908017,2.34760764280021,3.22149190613786,4.37273224460875,3.09763445535267,3.39979561754664,2.82679267531671,3.64234420880908,2.76455633044871,5.19342507832293,3.46950311992777,3.15188647285272,3.34301808197659,3.13672118447786,3.26674556504619,3.15203757633099,2.85230027044495,3.71783090708541,3.77241863485367,3.69248155347629,2.52298192969301,3.00017707101343,2.40898123937229,2.73469393163615,3.04395354844598,3.21602414151128,3.20508111211378,4.49378253736273,1.89611466753883,2.44275894043511,2.77579694199045,3.20730918480982,2.37303762385153
CHRNA7,2.77739516892601,1.86357792669936,4.21671855151077,2.87755438425425,2.87870726852919,3.32575373836934,2.13167406451509,2.26788542625125,3.11096562447136,1.37564459799989,1.93830509517672,2.50577950771247,3.78472761087406,2.76258543933587,3.03372394671239,2.22625071165837,2.95902512826583,2.35829424380904,4.30019938868565,2.87765771629864,2.45029706925896,2.81583569394911,2.7464732625923,2.90605376664925,2.61055916681872,2.32494020251792,3.02790074248846,3.10842891943317,3.3033350462893,1.96760819449472,2.58861642334661,1.83075424013277,2.24047618815712,2.38186607217311,2.5237095469965,2.81787893950754,3.716437712956,1.61349447729345,1.85427880028173,2.31118634577797,2.98598269631839,1.88754443643276
