condition1.precise.knockin,condition1.imprecise.knockin,condition1.indel,condition1.unmodified,condition2.precise.knockin,condition2.imprecise.knockin,condition2.indel,condition2.unmodified,enhancement.1.2.precise.knockin,reduction.1.2.imprecise.knockin,reduction.1.2.indel,reduction.1.2.unmodified
AAVS1,Low,Low,Low,High,Medium,Low,Low,High,High,Low,Low,High
ACOX2,High,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,High,Low,High
ADAMTS16,Medium,Medium,Low,High,Low,High,Medium,High,Medium,Low,Low,High
ARID1B,Low,Low,Medium,Medium,Low,Low,Medium,High,High,Medium,High,Low
ATP5B,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,High,High,High,Low
C2orf78,Low,Low,Medium,High,Low,Medium,Medium,High,Medium,Low,Medium,Medium
C8orf86,Low,Low,Low,High,Low,Low,Low,High,Low,Medium,Medium,Low
CCRL2,High,High,Low,High,Medium,High,Low,High,Low,High,Low,Medium
CD40LG,Low,Low,High,Low,Low,Low,High,Low,Medium,Medium,Medium,Low
CHRNA7,Low,Medium,High,Low,High,High,High,Low,High,Low,Medium,Medium
CLK3,High,High,Low,Medium,High,High,Low,Medium,Low,High,High,Low
CLRN2,Medium,High,Medium,Medium,Medium,High,High,Medium,Low,High,Low,High
CYP2C19,Low,Low,Medium,High,Low,Low,Medium,High,High,Low,Medium,Low
CYTH3,Low,Low,High,Low,Low,High,High,Low,Low,Low,Low,High
DAAM1,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Low,High,Low,Low
DBF4B,High,High,Low,Medium,High,High,Low,Low,Medium,High,High,High
DSCR4,Medium,Medium,Medium,High,Low,Medium,High,Medium,Low,Low,Low,High
EML2,Medium,High,Low,High,High,High,Low,High,High,High,High,Medium
FAM9C,High,High,Medium,Low,High,High,Low,Low,Low,Medium,High,High
FBXO10,Low,Low,Low,High,Low,Low,Low,High,Medium,Low,Low,Medium
GLI4,Medium,High,High,Low,High,High,Low,Medium,High,Medium,High,Low
ID1,High,Low,High,Low,Medium,Medium,High,Low,Medium,Low,Medium,High
KBTBD2,Medium,Medium,High,Low,Medium,Low,High,Low,High,Medium,Medium,Medium
KIAA0100,Low,Low,Low,High,High,Medium,Low,Medium,High,Low,Low,High
LDB3,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Low
LHFP,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Medium,Low,High
MIA2,High,High,Low,Medium,High,Medium,Medium,Medium,Medium,High,Low,High
MS4A3,Low,Low,High,Medium,Low,Low,High,Medium,High,Low,Medium,Low
NDP,Low,Low,High,Low,Low,Low,High,Low,High,Low,Medium,Low
PDX1,High,High,High,Low,Medium,Low,High,Low,Low,High,Low,Medium
PQLC1,Low,Low,Low,High,Low,Low,Low,High,Low,High,High,Low
PRR3,High,High,Medium,Low,High,High,Low,Low,High,Medium,High,Medium
PTPN1,High,Medium,High,Low,High,Medium,Medium,Low,High,Medium,High,Low
RAPGEF3,High,Medium,Medium,Low,High,Medium,Low,Low,Low,Medium,High,Medium
RHDBL,Medium,Low,Low,High,Low,Medium,Low,High,Low,Low,High,Low
RPL11,Low,High,Low,High,Medium,High,Low,High,High,Low,High,Low
RTN4R,Medium,Low,Low,High,Medium,Low,Medium,High,Medium,Low,Low,High
SERPINB5,Medium,High,High,Low,High,Medium,High,Low,Medium,High,Medium,Medium
SLC5A9,High,High,High,Low,Medium,High,Medium,Low,Medium,Medium,Medium,Medium
TIGD2,Medium,Medium,High,Low,Medium,High,High,Low,Medium,Medium,Medium,High
WDR92,Low,Medium,Medium,Medium,Low,Low,Medium,High,Medium,High,Low,Medium
WFDC2,High,High,Medium,Medium,High,Low,Medium,Medium,Low,High,Medium,Medium
