del_size	fq
0	21691
-1	1613
-2	755
-3	137
-4	257
-5	533
-6	855
-7	497
-8	2961
-9	1312
-10	246
-11	255
-12	174
-13	137
-14	293
-15	63
-16	523
-17	194
-18	352
-19	789
-20	460
-21	176
-22	142
-23	50
-24	117
-25	48
-26	56
-27	0
-28	29
-29	69
-30	137
-31	10
-32	41
-33	139
-34	106
-35	1
-36	50
-37	1
-38	0
-39	66
-40	35
-41	2
-42	0
-43	91
-44	0
-45	1
-46	1
-47	0
-48	0
-49	0
-50	0
-51	30
-52	31
-53	0
-54	33
-55	0
-56	0
-57	63
-58	0
-59	71
-60	0
-61	0
-62	0
-63	0
-64	0
-65	0
-66	0
-67	0
-68	0
-69	0
-70	48
-71	0
-72	0
-73	0
-74	0
-75	48
-76	0
-77	0
-78	0
-79	0
-80	0
-81	80
-82	0
-83	0
-84	0
-85	0
-86	0
-87	0
-88	0
-89	0
-90	0
-91	0
-92	0
-93	0
-94	0
-95	0
-96	1
-97	0
-98	0
-99	0
-100	0
-101	0
-102	0
-103	0
-104	0
-105	27
-106	0
-107	0
-108	0
-109	0
-110	98
-111	0
-112	0
-113	0
