# amplicon position	effect
1	6.600000000000000000e+01
2	0.000000000000000000e+00
3	0.000000000000000000e+00
4	0.000000000000000000e+00
5	5.000000000000000000e+00
6	6.000000000000000000e+00
7	1.000000000000000000e+00
8	0.000000000000000000e+00
9	2.000000000000000000e+00
10	2.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	1.000000000000000000e+00
16	1.000000000000000000e+00
17	1.000000000000000000e+00
18	1.000000000000000000e+00
19	1.000000000000000000e+00
20	3.000000000000000000e+00
21	2.000000000000000000e+00
22	0.000000000000000000e+00
23	1.000000000000000000e+00
24	1.000000000000000000e+00
25	2.000000000000000000e+00
26	2.000000000000000000e+00
27	1.000000000000000000e+00
28	1.000000000000000000e+00
29	0.000000000000000000e+00
30	0.000000000000000000e+00
31	1.000000000000000000e+00
32	1.000000000000000000e+00
33	0.000000000000000000e+00
34	1.000000000000000000e+00
35	1.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	0.000000000000000000e+00
41	0.000000000000000000e+00
42	0.000000000000000000e+00
43	0.000000000000000000e+00
44	0.000000000000000000e+00
45	0.000000000000000000e+00
46	0.000000000000000000e+00
47	0.000000000000000000e+00
48	0.000000000000000000e+00
49	0.000000000000000000e+00
50	0.000000000000000000e+00
51	0.000000000000000000e+00
52	0.000000000000000000e+00
53	0.000000000000000000e+00
54	0.000000000000000000e+00
55	0.000000000000000000e+00
56	0.000000000000000000e+00
57	0.000000000000000000e+00
58	0.000000000000000000e+00
59	0.000000000000000000e+00
60	0.000000000000000000e+00
61	0.000000000000000000e+00
62	0.000000000000000000e+00
63	0.000000000000000000e+00
64	0.000000000000000000e+00
65	0.000000000000000000e+00
66	6.100000000000000000e+01
67	6.100000000000000000e+01
68	0.000000000000000000e+00
69	0.000000000000000000e+00
70	0.000000000000000000e+00
71	0.000000000000000000e+00
72	0.000000000000000000e+00
73	0.000000000000000000e+00
74	0.000000000000000000e+00
75	0.000000000000000000e+00
76	5.700000000000000000e+01
77	5.700000000000000000e+01
78	0.000000000000000000e+00
79	0.000000000000000000e+00
80	5.700000000000000000e+01
81	5.700000000000000000e+01
82	0.000000000000000000e+00
83	0.000000000000000000e+00
84	0.000000000000000000e+00
85	0.000000000000000000e+00
86	0.000000000000000000e+00
87	0.000000000000000000e+00
88	0.000000000000000000e+00
89	0.000000000000000000e+00
90	0.000000000000000000e+00
91	0.000000000000000000e+00
92	0.000000000000000000e+00
93	0.000000000000000000e+00
94	0.000000000000000000e+00
95	1.000000000000000000e+00
96	1.000000000000000000e+00
97	0.000000000000000000e+00
98	0.000000000000000000e+00
99	0.000000000000000000e+00
100	0.000000000000000000e+00
101	0.000000000000000000e+00
102	0.000000000000000000e+00
103	0.000000000000000000e+00
104	0.000000000000000000e+00
105	0.000000000000000000e+00
106	0.000000000000000000e+00
107	4.000000000000000000e+00
108	4.000000000000000000e+00
109	0.000000000000000000e+00
110	0.000000000000000000e+00
111	0.000000000000000000e+00
112	5.700000000000000000e+01
113	5.700000000000000000e+01
114	0.000000000000000000e+00
115	0.000000000000000000e+00
116	0.000000000000000000e+00
117	0.000000000000000000e+00
118	0.000000000000000000e+00
119	3.000000000000000000e+00
120	6.000000000000000000e+01
121	5.700000000000000000e+01
122	2.400000000000000000e+01
123	2.400000000000000000e+01
124	0.000000000000000000e+00
125	0.000000000000000000e+00
126	0.000000000000000000e+00
127	0.000000000000000000e+00
128	0.000000000000000000e+00
129	0.000000000000000000e+00
130	0.000000000000000000e+00
131	6.100000000000000000e+01
132	6.100000000000000000e+01
133	0.000000000000000000e+00
134	0.000000000000000000e+00
135	1.000000000000000000e+00
136	1.000000000000000000e+00
137	1.000000000000000000e+00
138	2.000000000000000000e+00
139	5.700000000000000000e+01
140	5.600000000000000000e+01
141	0.000000000000000000e+00
142	0.000000000000000000e+00
143	1.000000000000000000e+00
144	1.000000000000000000e+00
145	0.000000000000000000e+00
146	0.000000000000000000e+00
147	0.000000000000000000e+00
148	0.000000000000000000e+00
149	2.000000000000000000e+00
150	2.000000000000000000e+00
151	5.000000000000000000e+00
152	5.000000000000000000e+00
153	0.000000000000000000e+00
154	2.000000000000000000e+00
155	1.070000000000000000e+02
156	1.070000000000000000e+02
157	6.900000000000000000e+01
158	6.700000000000000000e+01
159	1.000000000000000000e+00
160	3.000000000000000000e+00
161	2.000000000000000000e+00
162	0.000000000000000000e+00
163	1.000000000000000000e+00
164	2.000000000000000000e+00
165	1.000000000000000000e+00
166	2.000000000000000000e+00
