# amplicon position	effect
1	5.663452772329198304e-01
2	1.160317153355250458e-01
3	8.564245655717324379e-02
4	1.795728927811697240e-01
5	1.436583142249357736e-01
6	2.375887504489322399e-01
7	2.237754510042268830e-01
8	2.679780092272840419e-01
9	2.016741718926982896e-01
10	4.254496228969251725e-01
11	1.270823548912893286e-01
12	1.105063955576428975e-01
13	2.541647097825786572e-01
14	3.038925877835179645e-01
15	1.298450147802304167e-01
16	2.514020498936375692e-01
17	2.044368317816393499e-01
18	3.121805674503411732e-01
19	1.353703345581125372e-01
20	1.657595933364643392e-01
21	3.342818465618697665e-01
22	1.187943752244661200e-01
23	2.652153493383429539e-01
24	3.259938668950465579e-01
25	3.121805674503411732e-01
26	5.138547393430394905e-01
27	4.889908003425698091e-01
28	4.033483437853965792e-01
29	3.177058872282233493e-01
30	1.187943752244661200e-01
31	2.182501312263447346e-01
32	1.187943752244661200e-01
33	9.393043622399646631e-02
34	1.795728927811697240e-01
35	7.735447689035003516e-02
36	5.525319777882144873e-02
37	1.160317153355250458e-01
38	8.011713677929109545e-02
39	4.696521811199823315e-02
40	1.491836340028179220e-01
41	4.696521811199823315e-02
42	1.602342735585821909e-01
43	5.801585766776252290e-02
44	1.270823548912893286e-01
45	1.657595933364643392e-01
46	9.945575600187860354e-01
47	6.354117744564466430e-02
48	1.464209741138768339e-01
49	1.105063955576428975e-01
50	1.408956543359946856e-01
51	8.011713677929109545e-02
52	9.116777633505539213e-02
53	9.116777633505539213e-02
54	1.491836340028179220e-01
55	6.354117744564466430e-02
56	1.795728927811697240e-01
57	5.801585766776252290e-02
58	1.464209741138768339e-01
59	6.077851755670359707e-02
60	6.354117744564466430e-02
61	1.381329944470536253e-01
62	5.801585766776252290e-02
63	9.669309611293754048e-02
64	9.116777633505539213e-02
65	7.459181700140896099e-02
66	2.486393900046965089e-01
67	3.011299278945768765e-01
68	2.956046081166947559e-01
69	5.028040997872751383e-01
70	3.425698262286929752e-01
71	2.762659888941072506e-01
72	8.287979666823217517e-01
73	6.409370942343287636e-01
74	1.055336077575489639e+00
75	9.558803215736110248e-01
76	1.154791833577368365e+00
77	1.138215874243721837e+00
78	1.033234798463961157e+00
79	1.000082879796668323e+00
80	1.165842473133132495e+00
81	1.118877255021134332e+00
82	1.000082879796668323e+00
83	1.171367792911014671e+00
84	1.226620990689836210e+00
85	1.008370859463491476e+00
86	9.917949001298450584e-01
87	1.221095670911954034e+00
88	9.945575600187860354e-01
89	9.779816006851396182e-01
90	1.163079813244191518e+00
91	1.060861397353371816e+00
92	1.171367792911014671e+00
93	1.005608199574550277e+00
94	9.890322402409039704e-01
95	1.143741194021604013e+00
96	1.273586208801834374e+00
97	1.378567284581595054e+00
98	1.395143243915241582e+00
99	1.342652706025361242e+00
100	1.400668563693123758e+00
101	1.350940685692184395e+00
102	1.403431223582064735e+00
103	1.337127386247479066e+00
104	1.420007182915711264e+00
105	1.331602066469596890e+00
106	1.187943752244661200e+00
107	1.259772909357129045e+00
108	1.196231731911484353e+00
109	1.417244523026770064e+00
110	1.466972401027709427e+00
111	1.519462938917589767e+00
112	1.641019974030996975e+00
113	1.712849131143464820e+00
114	1.513937619139707813e+00
115	1.701798491587700690e+00
116	1.563665497140646954e+00
117	1.560902837251705977e+00
118	1.732187750366052326e+00
119	1.505649639472884438e+00
120	1.682459872365113185e+00
121	1.842694145923695404e+00
122	1.779152968478050711e+00
123	2.011216399149100553e+00
124	1.511174959250766614e+00
125	1.685222532254054162e+00
126	1.472497720805591603e+00
127	1.892422023924634544e+00
128	1.679697212476171986e+00
129	1.850982125590518557e+00
130	1.826118186590048875e+00
131	2.066469596927922314e+00
132	2.030555018371688281e+00
133	2.105146835373097325e+00
134	2.141061413929331358e+00
135	2.505732519269552760e+00
136	2.397988783600851104e+00
137	2.077520236483686666e+00
138	1.953200541481338259e+00
139	2.185263972152388323e+00
140	2.254330469375914969e+00
141	2.022267038704864905e+00
142	1.978064480481807941e+00
143	1.975301820592866742e+00
144	2.262618449042738344e+00
145	2.856590325165068833e+00
146	2.939470121833301253e+00
147	2.911843522943890594e+00
148	2.815150426830952846e+00
149	3.011299278945768876e+00
150	3.094179075614001295e+00
151	3.030637898168356603e+00
152	3.177058872282233271e+00
153	3.207448131060585350e+00
154	3.317954526618227984e+00
155	3.704726911069978090e+00
156	3.980992899964085563e+00
157	3.782081387960328112e+00
158	3.812470646738680191e+00
159	3.809707986849738770e+00
160	4.168853772412078662e+00
161	4.740724369422880002e+00
162	6.003259938668950468e+00
163	7.130425173356908175e+00
164	8.296267646490040448e+00
165	9.459347459734232189e+00
166	1.020250296985938121e+01
167	1.310882117302538852e+01
168	1.884962842224493684e+01
169	2.002928419482277533e+01
170	2.177528524463353321e+01
171	2.491366687847059325e+01
172	2.760173495041025404e+01
173	2.940022653811089270e+01
174	5.480012155703511212e+01
175	6.617951763958339484e+01
176	3.157996519048539952e+01
177	2.263447247009420593e+01
178	2.267314970853938050e+01
179	1.942702433903362191e+01
180	1.821421664778848992e+01
181	1.574992402685305493e+01
182	1.480233168494626561e+01
183	1.302317871646821601e+01
184	1.189048816200237546e+01
185	9.788103986518219557e+00
186	8.113932093819929747e+00
187	7.135950493134790129e+00
188	6.091665055115064398e+00
189	5.489405199325910978e+00
190	5.525319777882145011e+00
191	5.072243556095808792e+00
192	4.541812857419123439e+00
193	2.967096720722711911e+00
194	2.025029698593806327e+00
195	2.243279829820151061e+00
196	1.701798491587700690e+00
197	1.549852197695941625e+00
198	1.403431223582064735e+00
199	1.102301295687487803e+00
200	1.149266513799486189e+00
201	1.243196950023482517e+00
202	9.531176616846700478e-01
203	8.453739260159681690e-01
204	8.840511644611431796e-01
205	1.058098737464430839e+00
206	9.089151034616128610e-01
207	9.172030831284360142e-01
208	7.818327485703234769e-01
209	8.122220073486753344e-01
210	6.105478354559770171e-01
211	5.331933585656269958e-01
212	8.287979666823217517e-01
213	7.956460480150289172e-01
214	6.740890129016217092e-01
215	6.630383733458573570e-01
216	3.654999033069038727e+00
217	6.215984750117412583e-01
218	6.768516727905627972e-01
219	6.602757134569162689e-01
220	6.768516727905627972e-01
221	6.768516727905627972e-01
222	7.680194491256181477e-01
223	8.122220073486753344e-01
224	8.315606265712628398e-01
225	7.403928502362073782e-01
226	7.818327485703234769e-01
227	6.354117744564466985e-01
228	6.188358151228002813e-01
229	6.215984750117412583e-01
230	7.597314694587948836e-01
231	8.619498853496145863e-01
232	7.735447689035003238e-01
233	7.873580683482056530e-01
234	7.707821090145592358e-01
235	5.691079371218609184e-01
236	6.188358151228002813e-01
237	6.105478354559770171e-01
238	6.796143326795037742e-01
239	6.050225156780948410e-01
240	8.232726469044395756e-01
241	7.845954084592645650e-01
242	8.315606265712628398e-01
243	6.713263530126806211e-01
244	6.381744343453877866e-01
245	4.337376025637483812e-01
246	4.751775008978644799e-01
247	4.889908003425698091e-01
248	4.724148410089233918e-01
249	5.083294195651573144e-01
250	5.000414398983341613e-01
251	5.525319777882145011e-01
252	4.116363234522197878e-01
253	4.779401607868055124e-01
254	4.613642014531590951e-01
255	4.779401607868055124e-01
256	4.254496228969251725e-01
257	4.503135618973947985e-01
258	4.447882421195126779e-01
259	4.171616432301019639e-01
260	5.028040997872751383e-01
261	4.696521811199823038e-01
262	4.447882421195126779e-01
263	4.005856838964554911e-01
264	4.116363234522197878e-01
265	3.950603641185733705e-01
266	3.121805674503411732e-01
267	3.398071663397518871e-01
268	3.342818465618697665e-01
269	2.928419482277536678e-01
270	3.011299278945768765e-01
271	3.038925877835179645e-01
272	1.326076746691714769e-01
273	2.182501312263447346e-01
274	2.127248114484625863e-01
275	2.127248114484625863e-01
276	1.823355526701107843e-01
277	7.735447689035003516e-02
278	7.182915711246788681e-02
279	1.132690554465839716e-01
280	1.022184158908196749e-01
281	7.459181700140896099e-02
282	1.187943752244661200e-01
283	7.459181700140896099e-02
284	9.393043622399646631e-02
285	9.393043622399646631e-02
286	1.602342735585821909e-01
287	4.972787800093930732e-02
288	1.381329944470536253e-01
289	6.077851755670359707e-02
290	1.298450147802304167e-01
291	5.801585766776252290e-02
292	8.287979666823216962e-02
293	1.270823548912893286e-01
294	1.049810757797607491e-01
295	1.049810757797607491e-01
296	6.906649722352681264e-02
297	2.182501312263447346e-01
298	5.525319777882144873e-02
299	1.685222532254054273e-01
300	9.116777633505539213e-02
301	1.353703345581125372e-01
302	4.475509020084537659e-01
303	5.994971959002127759e-01
304	1.906235323369339929e-01
305	1.187943752244661200e-01
306	3.094179075614001406e-01
307	1.077437356687018233e-01
308	1.464209741138768339e-01
309	2.237754510042268830e-01
310	3.674337652291626566e-01
311	1.491836340028179220e-01
312	2.348260905599911519e-01
313	1.629969334475232789e-01
314	1.408956543359946856e-01
315	1.629969334475232789e-01
316	2.790286487830483386e-01
317	1.160317153355250458e-01
318	1.326076746691714769e-01
319	1.049810757797607491e-01
320	1.519462938917589823e-01
321	2.044368317816393499e-01
322	1.519462938917589823e-01
323	1.740475730032875756e-01
324	1.878608724479929326e-01
325	1.685222532254054273e-01
326	1.850982125590518446e-01
327	1.795728927811697240e-01
328	3.536204657844572719e-01
329	2.127248114484625863e-01
330	4.199243031190429964e-01
331	1.497361659806061285e+00
