AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,3.14419133660709,4.89270816069358,4.63654893828875,3.45889060727986,3.07898462855576,2.24677020664449,3.8114149075522,3.62204487567041,2.4812471839688,4.95311195116112,4.96974821468722,5.06069763420921,3.45556125336464,3.65000799471611,3.96441346023566,6.22970340918132,4.40304446632011,3.29104998308568,3.26076530435796,3.02203936943347,6.59831300160372,6.87307070497683,2.80759334123131,2.94440453994771,3.37674217088055,4.61721958134975,4.49582843076932,6.69672249293918,2.32328981611443,5.86823597882046,3.43076974124931,6.06657836361944,3.37441595752939,5.30819137417659,6.79386459451474,3.45972562947072,4.25185680668135,5.89431967844722,4.9511888915327,4.07448870221822,3.51202845945668,4.48887985066892
ACOX2,2.45956015680447,0.739700131177953,2.30048050641383,2.04907954192558,2.17790746192764,2.81530710720895,2.23733297492311,1.83537769312307,2.41032885546409,1.57694861470484,1.48981936313379,1.48383290773235,3.20543617516448,1.97400459283625,2.59050140753722,1.73822042625683,2.78158859876135,1.62712789588586,3.01042077354771,1.90129067017799,2.27703813456522,2.35407285342676,1.96208978644055,2.03314855845091,2.15816800097447,2.1578709685818,2.01411954814238,2.55370114304619,1.52968029848075,1.37263951676146,2.2013119694781,1.59303665934441,1.57602495327022,1.04834105341209,1.95596281142589,2.41347474999306,2.91981998691183,1.98660266180963,1.84921469586815,1.24323989545483,2.31632922228005,1.50637519173704
ADAMTS16,3.90662718721084,2.65030797362851,0.711401682464162,2.89860482126528,2.1545920409408,2.82655442888247,2.34115889683237,2.68963733779566,2.68533415226685,2.9496311083683,3.28845289107443,3.23446904238912,3.1587113668053,2.12852842256763,1.98861073392812,3.50229057603624,3.97644026133172,2.44943405397503,5.26583744460209,3.00295555693552,2.66804323467713,3.55295459821242,2.10623309011344,2.12922259276469,2.61756966856649,3.01104799088084,3.654052911597,2.7173045037419,1.56810553820594,3.16547264711591,2.7514668029782,4.61828305561348,2.43940564614159,2.78004965897231,4.66373693955692,2.89103661003822,4.38796361740385,2.99797262861007,3.14357381853208,1.97979366263355,1.96932246949303,3.07274936109991
ARID1B,3.93731950135172,3.54234155126365,5.09054804139765,2.6700132843429,3.51743473671709,3.84819181742609,3.2951105206348,3.1777985283596,3.55774618978397,2.83990617644736,3.39616153659968,4.19555694296327,4.43644647495334,3.39468135761124,3.59517142272075,4.18643423451225,2.82955972663018,3.1765365130042,6.25015530274576,4.11604039769748,3.90858174713151,4.43047790926045,3.1836447780474,2.98751374633289,3.75658786830279,2.7565528506601,4.58316787191301,4.83578276961904,3.73444766746491,3.41411382120524,3.32288566697462,4.2897604545336,3.09445129803241,4.08844041769561,4.51777852589809,3.98914214210858,4.1263125835084,3.01332235370587,3.49490589987568,3.20828623730903,3.6502754154954,3.354000674334
ATP5B,2.29938258376103,3.11043113319608,2.42074458434831,2.26293569486883,1.07521757915796,1.6174518669566,1.82526318926895,1.72428990927949,1.51119542955291,2.92934421667172,2.9286656462925,3.05898195140629,1.28778066098521,1.93965806798756,1.4681427196893,3.48055740447508,3.369116214861,1.79001650771144,3.94985584178288,1.42653660067998,3.27784845407418,3.12820420238994,1.29468634699668,1.29348437121795,1.7716629891822,2.58848106578419,3.65102160575909,4.00680179350702,1.57576593373191,2.85533325691709,1.80557185094315,2.99263035238137,1.884199650443,3.43260702352812,3.90452346118017,1.41567899884329,2.34696946714339,3.05267040886453,2.80937987302983,1.82120786261078,1.4922452831542,2.44741237610558
C2orf78,1.94435013473188,1.75086165299505,2.85111698541417,2.06615450424463,2.03567489739603,2.51558279894034,1.94282077642864,1.73265957648423,2.33560558013648,1.85243728115496,1.65200791173501,1.66193307557906,2.2547264118967,2.17543739424224,2.38408331370879,1.83883061022831,2.24015336010009,1.91124871961195,3.1052715611417,1.76061209108703,1.609054981798,1.59893774262163,2.1994811231399,2.18105759097715,1.97170356162824,1.74157170921575,2.13406849626949,2.08929513590389,2.60244535736237,1.43609733814881,2.04886058633459,1.57827283507944,1.72613157684616,2.08797521716183,1.65839013732507,2.11812787764589,2.3362511379421,1.94271797513125,1.59065617826012,1.78577590221042,2.43320261046732,1.58424862456676
C8orf86,1.32637188935873,1.89356821759565,2.00765714172487,1.42411656256143,0.859033396874814,0.893034251715729,1.03212257465064,1.04748995284321,0.825341268835509,1.80397120914601,1.69941853532368,1.71552934706825,1.24758704635482,1.14031802277849,1.17816071984777,2.42458742469345,2.23522045590599,0.952882206719708,3.00289704331247,1.21699204552473,2.4258974283892,2.39142984720478,0.804314397613494,0.994357465609467,1.02538099892255,1.62679249448929,2.21543214413749,2.57653204462254,1.07851774875594,1.93288630932069,1.04870123138625,2.05659413606987,1.02232571154569,2.25936005873548,2.34614597747629,0.871011717202576,1.74203116297727,1.97260481869046,1.59353994613222,1.27895132626134,1.04981429978236,1.67225972009719
CCRL2,2.06699016337072,1.59765948069485,3.49360642860185,2.680135468425,2.96529970927094,3.31469338558233,2.29282558747509,2.15835720753065,3.32776660102797,1.69505214320772,1.61654339352803,1.70005327428975,3.38848280309803,2.84125963769438,3.25263489459053,1.7469181767733,2.59876059667671,2.35498934789974,2.98204013075278,2.31667162281043,1.70413897241411,2.71018304002444,2.79627988945034,2.97801294985911,2.2443548698066,1.90423349854641,1.88844060915281,2.40217987084484,3.48613572625656,1.76240109082472,2.43951723177459,1.33793872523744,1.96614567311146,2.02037032887974,1.70887138683895,2.82023570783844,3.04539046279313,1.95228381088584,1.36885870962617,2.05452008128808,3.20139207679735,1.66681483194406
CD40LG,3.75708987911268,4.39040465217556,5.66696498984788,3.00957386046393,3.67408285420732,4.22858824686571,3.98852605182554,3.52787255218974,3.60637076275293,4.38246994479226,3.88820618832878,3.95827742464272,3.83396459521381,4.38388052347254,4.48336714080466,4.76514405107818,3.15870795992817,3.91156081577865,4.77171661109193,3.54125321356498,4.3861807788985,4.304998044279,3.79172745024726,3.50285350071328,3.9196568224867,3.39508495854129,4.75605389612539,5.15101344249789,4.31760820893745,4.04607575806182,4.01142694114436,3.29869251336018,3.79282128317254,4.93242422617792,3.5279246179716,3.65205344144482,2.94639297310098,4.71130572792418,3.83553227393048,3.83338541370216,4.08772522025436,3.9059150725392
CHRNA7,2.31175861867673,1.61991923040865,3.24090370524438,2.7700932011992,2.65730565987953,3.05319683449697,1.92095053723256,2.0064051321927,3.02150924677185,1.03352870868424,1.51159850430196,1.85221744233808,3.69162780030372,2.30981615513449,2.62200825633672,1.53956615792927,2.7181657795294,2.08256272180219,3.46652023349203,2.41091807649413,1.6339486767476,2.19512552019978,2.51933690030129,2.74132975899279,2.27386001407089,2.00667179453097,2.59812509897328,2.24519206491195,2.96710902061022,1.52677098973307,2.10294597223466,1.79127110598874,1.85319130522175,1.96122411099208,2.4561182070455,2.52663055472937,3.47224588409673,1.19870784432284,1.41137068394499,1.91456826162476,2.60851202290447,1.47049116766506
