# amplicon position	effect
1	2.000000000000000000e+00
2	3.000000000000000000e+00
3	2.000000000000000000e+00
4	6.000000000000000000e+00
5	2.000000000000000000e+00
6	5.000000000000000000e+00
7	4.000000000000000000e+00
8	1.200000000000000000e+01
9	0.000000000000000000e+00
10	2.000000000000000000e+00
11	4.000000000000000000e+00
12	2.000000000000000000e+00
13	2.000000000000000000e+00
14	0.000000000000000000e+00
15	1.000000000000000000e+00
16	0.000000000000000000e+00
17	2.000000000000000000e+00
18	1.000000000000000000e+00
19	3.000000000000000000e+00
20	1.000000000000000000e+00
21	3.000000000000000000e+00
22	2.000000000000000000e+00
23	1.000000000000000000e+00
24	6.000000000000000000e+00
25	1.000000000000000000e+00
26	6.000000000000000000e+00
27	5.000000000000000000e+00
28	2.000000000000000000e+00
29	3.000000000000000000e+00
30	0.000000000000000000e+00
31	1.000000000000000000e+01
32	3.000000000000000000e+00
33	3.000000000000000000e+00
34	1.000000000000000000e+01
35	4.000000000000000000e+00
36	4.000000000000000000e+00
37	7.000000000000000000e+00
38	5.000000000000000000e+00
39	1.000000000000000000e+00
40	7.000000000000000000e+00
41	3.000000000000000000e+00
42	8.000000000000000000e+00
43	3.000000000000000000e+00
44	5.000000000000000000e+00
45	8.000000000000000000e+00
46	1.380000000000000000e+02
47	3.000000000000000000e+00
48	3.000000000000000000e+00
49	5.000000000000000000e+00
50	8.000000000000000000e+00
51	2.000000000000000000e+00
52	8.000000000000000000e+00
53	3.000000000000000000e+00
54	6.000000000000000000e+00
55	3.000000000000000000e+00
56	8.000000000000000000e+00
57	0.000000000000000000e+00
58	6.000000000000000000e+00
59	2.000000000000000000e+00
60	2.000000000000000000e+00
61	9.000000000000000000e+00
62	3.000000000000000000e+00
63	7.000000000000000000e+00
64	5.000000000000000000e+00
65	4.000000000000000000e+00
66	2.000000000000000000e+00
67	4.000000000000000000e+00
68	6.000000000000000000e+00
69	8.000000000000000000e+00
70	2.000000000000000000e+00
71	5.000000000000000000e+00
72	4.000000000000000000e+00
73	3.000000000000000000e+00
74	6.000000000000000000e+00
75	2.000000000000000000e+00
76	5.000000000000000000e+00
77	0.000000000000000000e+00
78	3.000000000000000000e+00
79	3.000000000000000000e+00
80	4.000000000000000000e+00
81	1.000000000000000000e+00
82	8.000000000000000000e+00
83	5.000000000000000000e+00
84	3.000000000000000000e+00
85	5.000000000000000000e+00
86	5.000000000000000000e+00
87	6.000000000000000000e+00
88	4.000000000000000000e+00
89	3.000000000000000000e+00
90	0.000000000000000000e+00
91	4.000000000000000000e+00
92	5.000000000000000000e+00
93	3.000000000000000000e+00
94	4.000000000000000000e+00
95	5.000000000000000000e+00
96	1.000000000000000000e+00
97	1.000000000000000000e+00
98	5.000000000000000000e+00
99	4.000000000000000000e+00
100	8.000000000000000000e+00
101	3.000000000000000000e+00
102	2.000000000000000000e+00
103	3.000000000000000000e+00
104	6.000000000000000000e+00
105	1.000000000000000000e+00
106	3.000000000000000000e+00
107	4.000000000000000000e+00
108	6.000000000000000000e+00
109	4.000000000000000000e+00
110	2.000000000000000000e+00
111	7.000000000000000000e+00
112	1.000000000000000000e+00
113	5.000000000000000000e+00
114	3.000000000000000000e+00
115	3.000000000000000000e+00
116	2.000000000000000000e+00
117	2.000000000000000000e+00
118	7.000000000000000000e+00
119	2.000000000000000000e+00
120	1.000000000000000000e+00
121	2.000000000000000000e+00
122	1.000000000000000000e+00
123	7.000000000000000000e+00
124	2.000000000000000000e+00
125	2.000000000000000000e+00
126	1.000000000000000000e+00
127	1.000000000000000000e+01
128	3.000000000000000000e+00
129	1.000000000000000000e+00
130	1.000000000000000000e+00
131	7.000000000000000000e+00
132	2.000000000000000000e+00
133	3.000000000000000000e+00
134	4.000000000000000000e+00
135	2.300000000000000000e+01
136	3.000000000000000000e+00
137	7.000000000000000000e+00
138	4.000000000000000000e+00
139	3.000000000000000000e+00
140	1.000000000000000000e+00
141	4.000000000000000000e+00
142	1.000000000000000000e+00
143	2.000000000000000000e+00
144	6.000000000000000000e+00
145	1.000000000000000000e+01
146	6.000000000000000000e+00
147	4.000000000000000000e+00
148	2.000000000000000000e+00
149	4.000000000000000000e+00
150	3.000000000000000000e+00
151	3.000000000000000000e+00
152	2.000000000000000000e+00
153	2.000000000000000000e+00
154	7.000000000000000000e+00
155	3.000000000000000000e+00
156	1.000000000000000000e+00
157	2.000000000000000000e+00
158	1.000000000000000000e+00
159	1.200000000000000000e+01
160	5.000000000000000000e+00
161	0.000000000000000000e+00
162	5.000000000000000000e+00
163	5.000000000000000000e+00
164	3.000000000000000000e+00
165	1.000000000000000000e+00
166	3.000000000000000000e+00
167	4.000000000000000000e+00
168	6.000000000000000000e+00
169	1.000000000000000000e+00
170	4.000000000000000000e+00
171	4.000000000000000000e+00
172	0.000000000000000000e+00
173	5.000000000000000000e+00
174	4.000000000000000000e+00
175	0.000000000000000000e+00
176	2.000000000000000000e+00
177	3.000000000000000000e+00
178	3.000000000000000000e+00
179	6.000000000000000000e+00
180	2.000000000000000000e+00
181	2.000000000000000000e+00
182	6.000000000000000000e+00
183	2.000000000000000000e+00
184	3.000000000000000000e+00
185	0.000000000000000000e+00
186	4.000000000000000000e+00
187	8.000000000000000000e+00
188	1.000000000000000000e+00
189	3.000000000000000000e+00
190	1.000000000000000000e+01
191	2.000000000000000000e+00
192	3.000000000000000000e+00
193	0.000000000000000000e+00
194	1.000000000000000000e+00
195	1.000000000000000000e+00
196	4.000000000000000000e+00
197	1.000000000000000000e+00
198	2.000000000000000000e+00
199	2.000000000000000000e+00
200	2.000000000000000000e+00
201	6.000000000000000000e+00
202	3.000000000000000000e+00
203	5.000000000000000000e+00
204	6.000000000000000000e+00
205	7.000000000000000000e+00
206	4.000000000000000000e+00
207	2.000000000000000000e+00
208	2.000000000000000000e+00
209	7.000000000000000000e+00
210	2.000000000000000000e+00
211	2.000000000000000000e+00
212	1.000000000000000000e+00
213	4.000000000000000000e+00
214	3.000000000000000000e+00
215	2.000000000000000000e+00
216	7.790000000000000000e+02
217	1.000000000000000000e+00
218	5.000000000000000000e+00
219	5.000000000000000000e+00
220	4.000000000000000000e+00
221	4.000000000000000000e+00
222	2.000000000000000000e+00
223	6.000000000000000000e+00
224	0.000000000000000000e+00
225	0.000000000000000000e+00
226	4.000000000000000000e+00
227	4.000000000000000000e+00
228	5.000000000000000000e+00
229	2.000000000000000000e+00
230	1.000000000000000000e+00
231	7.000000000000000000e+00
232	4.000000000000000000e+00
233	2.000000000000000000e+00
234	2.000000000000000000e+00
235	5.000000000000000000e+00
236	6.000000000000000000e+00
237	4.000000000000000000e+00
238	8.000000000000000000e+00
239	6.000000000000000000e+00
240	4.000000000000000000e+00
241	4.000000000000000000e+00
242	8.000000000000000000e+00
243	6.000000000000000000e+00
244	0.000000000000000000e+00
245	0.000000000000000000e+00
246	4.000000000000000000e+00
247	3.000000000000000000e+00
248	1.000000000000000000e+00
249	2.000000000000000000e+00
250	6.000000000000000000e+00
251	7.000000000000000000e+00
252	3.000000000000000000e+00
253	9.000000000000000000e+00
254	8.000000000000000000e+00
255	9.000000000000000000e+00
256	3.000000000000000000e+00
257	5.000000000000000000e+00
258	5.000000000000000000e+00
259	1.000000000000000000e+00
260	6.000000000000000000e+00
261	7.000000000000000000e+00
262	4.000000000000000000e+00
263	5.000000000000000000e+00
264	3.000000000000000000e+00
265	0.000000000000000000e+00
266	6.000000000000000000e+00
267	9.000000000000000000e+00
268	6.000000000000000000e+00
269	5.000000000000000000e+00
270	6.000000000000000000e+00
271	4.000000000000000000e+00
272	2.000000000000000000e+00
273	7.000000000000000000e+00
274	6.000000000000000000e+00
275	6.000000000000000000e+00
276	3.000000000000000000e+00
277	2.000000000000000000e+00
278	6.000000000000000000e+00
279	7.000000000000000000e+00
280	1.000000000000000000e+00
281	4.000000000000000000e+00
282	5.000000000000000000e+00
283	8.000000000000000000e+00
284	1.000000000000000000e+00
285	5.000000000000000000e+00
286	3.000000000000000000e+00
287	4.000000000000000000e+00
288	4.000000000000000000e+00
289	2.000000000000000000e+00
290	6.000000000000000000e+00
291	5.000000000000000000e+00
292	3.000000000000000000e+00
293	7.000000000000000000e+00
294	8.000000000000000000e+00
295	7.000000000000000000e+00
296	3.000000000000000000e+00
297	1.200000000000000000e+01
298	3.000000000000000000e+00
299	5.000000000000000000e+00
300	3.000000000000000000e+00
301	5.000000000000000000e+00
302	1.900000000000000000e+01
303	3.000000000000000000e+00
304	8.000000000000000000e+00
