# amplicon position	effect
1	1.800000000000000000e+01
2	9.000000000000000000e+00
3	8.000000000000000000e+00
4	1.000000000000000000e+01
5	8.000000000000000000e+00
6	1.300000000000000000e+01
7	1.300000000000000000e+01
8	9.000000000000000000e+00
9	1.000000000000000000e+01
10	2.400000000000000000e+01
11	7.000000000000000000e+00
12	8.000000000000000000e+00
13	1.300000000000000000e+01
14	1.200000000000000000e+01
15	3.000000000000000000e+00
16	8.000000000000000000e+00
17	4.000000000000000000e+00
18	1.300000000000000000e+01
19	1.000000000000000000e+00
20	6.000000000000000000e+00
21	1.000000000000000000e+01
22	0.000000000000000000e+00
23	4.000000000000000000e+00
24	9.000000000000000000e+00
25	9.000000000000000000e+00
26	1.800000000000000000e+01
27	1.200000000000000000e+01
28	1.300000000000000000e+01
29	7.000000000000000000e+00
30	3.000000000000000000e+00
31	0.000000000000000000e+00
32	0.000000000000000000e+00
33	0.000000000000000000e+00
34	0.000000000000000000e+00
35	0.000000000000000000e+00
36	0.000000000000000000e+00
37	0.000000000000000000e+00
38	0.000000000000000000e+00
39	0.000000000000000000e+00
40	1.000000000000000000e+00
41	1.000000000000000000e+00
42	1.000000000000000000e+00
43	1.000000000000000000e+00
44	1.000000000000000000e+00
45	1.000000000000000000e+00
46	1.000000000000000000e+00
47	1.000000000000000000e+00
48	3.000000000000000000e+00
49	1.000000000000000000e+00
50	1.000000000000000000e+00
51	1.000000000000000000e+00
52	1.000000000000000000e+00
53	1.000000000000000000e+00
54	2.000000000000000000e+00
55	2.000000000000000000e+00
56	2.000000000000000000e+00
57	2.000000000000000000e+00
58	2.000000000000000000e+00
59	1.000000000000000000e+00
60	1.000000000000000000e+00
61	1.000000000000000000e+00
62	1.000000000000000000e+00
63	1.000000000000000000e+00
64	4.000000000000000000e+00
65	3.000000000000000000e+00
66	7.000000000000000000e+00
67	8.000000000000000000e+00
68	7.000000000000000000e+00
69	7.000000000000000000e+00
70	6.000000000000000000e+00
71	6.000000000000000000e+00
72	7.000000000000000000e+00
73	4.000000000000000000e+00
74	4.000000000000000000e+00
75	5.000000000000000000e+00
76	6.000000000000000000e+00
77	8.000000000000000000e+00
78	8.000000000000000000e+00
79	8.000000000000000000e+00
80	5.000000000000000000e+00
81	6.000000000000000000e+00
82	5.000000000000000000e+00
83	7.000000000000000000e+00
84	7.000000000000000000e+00
85	6.000000000000000000e+00
86	6.000000000000000000e+00
87	7.000000000000000000e+00
88	6.000000000000000000e+00
89	6.000000000000000000e+00
90	7.000000000000000000e+00
91	7.000000000000000000e+00
92	7.000000000000000000e+00
93	7.000000000000000000e+00
94	8.000000000000000000e+00
95	8.000000000000000000e+00
96	9.000000000000000000e+00
97	8.000000000000000000e+00
98	8.000000000000000000e+00
99	6.000000000000000000e+00
100	6.000000000000000000e+00
101	8.000000000000000000e+00
102	7.000000000000000000e+00
103	6.000000000000000000e+00
104	6.000000000000000000e+00
105	6.000000000000000000e+00
106	5.000000000000000000e+00
107	4.000000000000000000e+00
108	4.000000000000000000e+00
109	4.000000000000000000e+00
110	6.000000000000000000e+00
111	6.000000000000000000e+00
112	6.000000000000000000e+00
113	4.000000000000000000e+00
114	4.000000000000000000e+00
115	4.000000000000000000e+00
116	4.000000000000000000e+00
117	4.000000000000000000e+00
118	4.000000000000000000e+00
119	4.000000000000000000e+00
120	6.000000000000000000e+00
121	6.000000000000000000e+00
122	6.000000000000000000e+00
123	6.000000000000000000e+00
124	6.000000000000000000e+00
125	4.000000000000000000e+00
126	4.000000000000000000e+00
127	5.000000000000000000e+00
128	5.000000000000000000e+00
129	5.000000000000000000e+00
130	4.000000000000000000e+00
131	4.000000000000000000e+00
132	4.000000000000000000e+00
133	4.000000000000000000e+00
134	4.000000000000000000e+00
135	4.000000000000000000e+00
136	0.000000000000000000e+00
137	0.000000000000000000e+00
138	2.000000000000000000e+00
139	0.000000000000000000e+00
140	0.000000000000000000e+00
141	0.000000000000000000e+00
142	0.000000000000000000e+00
143	0.000000000000000000e+00
144	4.000000000000000000e+00
145	4.000000000000000000e+00
146	3.000000000000000000e+00
147	3.000000000000000000e+00
148	3.000000000000000000e+00
149	3.000000000000000000e+00
150	3.000000000000000000e+00
151	3.000000000000000000e+00
152	0.000000000000000000e+00
153	0.000000000000000000e+00
154	0.000000000000000000e+00
155	0.000000000000000000e+00
156	0.000000000000000000e+00
157	0.000000000000000000e+00
158	0.000000000000000000e+00
159	0.000000000000000000e+00
160	0.000000000000000000e+00
161	7.000000000000000000e+00
162	1.000000000000000000e+00
163	1.000000000000000000e+00
164	1.000000000000000000e+00
165	1.000000000000000000e+00
166	1.000000000000000000e+00
167	1.000000000000000000e+00
168	1.000000000000000000e+00
169	1.000000000000000000e+00
170	3.000000000000000000e+00
171	3.000000000000000000e+00
172	3.000000000000000000e+00
173	2.000000000000000000e+00
174	2.000000000000000000e+00
175	4.000000000000000000e+00
176	2.000000000000000000e+00
177	1.000000000000000000e+00
178	1.000000000000000000e+00
179	2.000000000000000000e+00
180	0.000000000000000000e+00
181	0.000000000000000000e+00
182	0.000000000000000000e+00
183	0.000000000000000000e+00
184	0.000000000000000000e+00
185	0.000000000000000000e+00
186	0.000000000000000000e+00
187	0.000000000000000000e+00
188	0.000000000000000000e+00
189	0.000000000000000000e+00
190	0.000000000000000000e+00
191	6.300000000000000000e+01
192	6.300000000000000000e+01
193	0.000000000000000000e+00
194	0.000000000000000000e+00
195	2.000000000000000000e+00
196	2.000000000000000000e+00
197	3.000000000000000000e+00
198	2.000000000000000000e+00
199	4.000000000000000000e+00
200	3.000000000000000000e+00
201	1.000000000000000000e+00
202	1.000000000000000000e+00
203	1.000000000000000000e+00
204	2.000000000000000000e+00
205	2.000000000000000000e+00
206	1.000000000000000000e+00
207	1.000000000000000000e+00
208	1.000000000000000000e+00
209	1.000000000000000000e+00
210	1.000000000000000000e+00
211	1.000000000000000000e+00
212	1.800000000000000000e+01
213	6.200000000000000000e+01
214	3.300000000000000000e+01
215	3.300000000000000000e+01
216	3.300000000000000000e+01
217	3.300000000000000000e+01
218	3.400000000000000000e+01
219	1.700000000000000000e+01
220	1.700000000000000000e+01
221	1.600000000000000000e+01
222	1.600000000000000000e+01
223	1.600000000000000000e+01
224	1.600000000000000000e+01
225	1.600000000000000000e+01
226	1.600000000000000000e+01
227	1.600000000000000000e+01
228	1.600000000000000000e+01
229	1.600000000000000000e+01
230	1.600000000000000000e+01
231	1.600000000000000000e+01
232	1.600000000000000000e+01
233	1.600000000000000000e+01
234	1.600000000000000000e+01
235	1.600000000000000000e+01
236	1.700000000000000000e+01
237	1.700000000000000000e+01
238	1.700000000000000000e+01
239	1.700000000000000000e+01
240	1.700000000000000000e+01
241	1.700000000000000000e+01
242	1.800000000000000000e+01
243	1.700000000000000000e+01
244	1.700000000000000000e+01
245	1.700000000000000000e+01
246	1.700000000000000000e+01
247	1.700000000000000000e+01
248	1.700000000000000000e+01
249	1.700000000000000000e+01
250	1.700000000000000000e+01
251	1.700000000000000000e+01
252	1.000000000000000000e+00
253	1.000000000000000000e+00
254	1.000000000000000000e+00
255	1.000000000000000000e+00
256	1.000000000000000000e+00
257	1.000000000000000000e+00
258	1.000000000000000000e+00
259	1.000000000000000000e+00
260	2.000000000000000000e+00
261	1.000000000000000000e+00
262	2.000000000000000000e+00
263	2.000000000000000000e+00
264	2.000000000000000000e+00
265	2.000000000000000000e+00
266	2.000000000000000000e+00
267	2.000000000000000000e+00
268	2.000000000000000000e+00
269	2.000000000000000000e+00
270	2.000000000000000000e+00
271	2.000000000000000000e+00
272	2.000000000000000000e+00
273	2.000000000000000000e+00
274	2.000000000000000000e+00
275	2.000000000000000000e+00
276	2.000000000000000000e+00
277	2.000000000000000000e+00
278	2.000000000000000000e+00
279	2.000000000000000000e+00
280	2.000000000000000000e+00
281	2.000000000000000000e+00
282	2.000000000000000000e+00
283	2.000000000000000000e+00
284	2.000000000000000000e+00
285	2.000000000000000000e+00
286	4.000000000000000000e+00
287	3.000000000000000000e+00
288	2.000000000000000000e+00
289	2.000000000000000000e+00
290	2.000000000000000000e+00
291	2.000000000000000000e+00
292	2.000000000000000000e+00
293	2.000000000000000000e+00
294	2.000000000000000000e+00
295	2.000000000000000000e+00
296	2.000000000000000000e+00
297	2.000000000000000000e+00
298	2.000000000000000000e+00
299	4.000000000000000000e+00
300	2.000000000000000000e+00
301	5.000000000000000000e+00
302	8.000000000000000000e+00
303	1.800000000000000000e+01
304	2.000000000000000000e+00
305	3.000000000000000000e+00
306	4.000000000000000000e+00
307	6.000000000000000000e+00
308	6.000000000000000000e+00
309	6.000000000000000000e+00
310	7.000000000000000000e+00
311	5.000000000000000000e+00
312	8.000000000000000000e+00
313	5.000000000000000000e+00
314	6.000000000000000000e+00
315	7.000000000000000000e+00
316	2.000000000000000000e+01
317	8.000000000000000000e+00
318	8.000000000000000000e+00
319	8.000000000000000000e+00
320	9.000000000000000000e+00
321	6.000000000000000000e+00
322	6.000000000000000000e+00
323	7.000000000000000000e+00
324	7.000000000000000000e+00
325	4.000000000000000000e+00
326	5.000000000000000000e+00
327	6.000000000000000000e+00
328	1.000000000000000000e+01
329	1.100000000000000000e+01
330	2.300000000000000000e+01
331	1.050000000000000000e+02
